OptLevel,N,TempoInit,TempoAcum,TempoILP
O0,10000000,0.048488,0.054057,0.016314
O0,20000000,0.079691,0.108288,0.033362
O0,30000000,0.154333,0.162287,0.049993
O0,40000000,0.192035,0.216462,0.066118
O0,50000000,0.248528,0.270750,0.082790
O0,60000000,0.286818,0.325251,0.099477
O0,70000000,0.372078,0.378988,0.115036
O0,80000000,0.481929,0.433201,0.131865
O0,90000000,0.489055,0.486774,0.149184
O0,100000000,0.584479,0.540539,0.167732
O2,10000000,0.020293,0.015515,0.004943
O2,20000000,0.037860,0.030800,0.010042
O2,30000000,0.054824,0.046774,0.015120
O2,40000000,0.071555,0.062464,0.020164
O2,50000000,0.090961,0.076741,0.025271
O2,60000000,0.107480,0.092350,0.029981
O2,70000000,0.142660,0.107745,0.035162
O2,80000000,0.211684,0.123919,0.040492
O2,90000000,0.283423,0.139637,0.045729
O2,100000000,0.358619,0.155303,0.051075
O3,10000000,0.020222,0.015494,0.005459
O3,20000000,0.040630,0.030797,0.010391
O3,30000000,0.057769,0.045849,0.015767
O3,40000000,0.076463,0.061442,0.021592
O3,50000000,0.091673,0.077188,0.025471
O3,60000000,0.108426,0.091895,0.030337
O3,70000000,0.145928,0.108426,0.035457
O3,80000000,0.216491,0.123433,0.040902
O3,90000000,0.291845,0.139387,0.046234
O3,100000000,0.358382,0.155969,0.050980
