N,TempoLinha,TempoColuna
100,0.000079,0.000092
200,0.000294,0.000270
300,0.000516,0.000605
400,0.000935,0.001148
500,0.001797,0.003148
600,0.002563,0.007716
700,0.003152,0.008867
800,0.004458,0.012357
900,0.006150,0.013811
1000,0.007157,0.018487
1100,0.008720,0.023896
1200,0.009623,0.029030
1300,0.012466,0.037506
1400,0.014154,0.035997
1500,0.015146,0.044991
1600,0.017190,0.047241
1700,0.020323,0.060988
1800,0.023597,0.065063
1900,0.027054,0.074534
2000,0.031280,0.062169
2100,0.033150,0.097631
2200,0.031895,0.100346
2300,0.038318,0.102016
2400,0.038239,0.117195
2500,0.040245,0.115158
2600,0.047091,0.147527
2700,0.049139,0.152867
2800,0.053367,0.153134
2900,0.059697,0.187819
3000,0.061146,0.198606
3100,0.063119,0.196264
3200,0.071026,0.215809
3300,0.088069,0.245820
3400,0.093511,0.258953
3500,0.081693,0.248222
3600,0.084330,0.263231
3700,0.090290,0.288714
3800,0.096075,0.304452
3900,0.124041,0.373194
4000,0.115560,0.391769
4100,0.116305,0.375694
4200,0.123489,0.398559
4300,0.125666,0.412761
4400,0.134864,0.454213
4500,0.137559,0.482018
4600,0.139148,0.479864
4700,0.160530,0.516782
4800,0.159324,0.520267
4900,0.174939,0.576807
5000,0.164861,0.573149
